,Filename,Path,Score,Time
0,TSPA.csv,"[ 26  92  48 106 160  11 152   1 177  41 137 199 192 174  75 189 109 119
 169  95 112  51 135  99 101 167 175 153  88 127 186 170  79 194  21  76
 161  91 121 114   4  77  43  50 149   0  69  19 178 164 159 143  59 147
  96 185  64  20  71  61 163  74 113 132 128  36  55 195  22  53 117  15
 171 108  62  32 180  81 154 102 144  87 141  24   6 156 172  66  98 190
  72  94  12  73  31 111  14  80 124   8]",74376,202.0986511707306
1,TSPA.csv,"[ 55  36 132 128  76 161 153  88 127 186  79 194  21 171 108  15 117  53
  62  32 180  81 154 133 102 144  87 141   6 156  66  98 190  72  12  94
  89 111  14  80   8  26  92  48 106 160  11 152   1 177  41 137 199 192
 174  75 189 109 130 119 134 169  95  31  73 112 135  99 101 167 175 114
  91 121   4  77  43  50 149   0  69  19 178 164 159 143  59  96 147  27
 185  64  20  71  61 163  74 113 195  22]",74246,200.19965481758118
2,TSPA.csv,"[ 87 144 102 154  81 180  32  62 155 163  74 113  61  71  20  64 185  27
 147  96  59 143 159 164 178  19   0 149  50  43  77   4 192 199  41 177
   1  75 189 109 119 130 152  11 160 106  48  92  26 134 135  51 112  95
 169   8 124  80  14 111  31  73  89  94  12  72 190  98  66   6 141  24
 186 127  88 153 167 101  60 175 114 121  91 161  76 145 128 132  36  55
 195  22  53 117  15 108 171  21 194  79]",73900,201.81018376350403
3,TSPA.csv,"[192   4  77  43  50 149   0  69  19 178 164 159 143  59  96 147  27 116
 185  64  20  71 113  74 163  62  32 180  81 154 133 102 144 141  87  79
 194  21 171 108 117  53  22 195  55  36 132 128  76 161  91 121 114 175
 153  88 127 186  45 167 101  99 135  51 112  72 190  66   6 156  98  94
  89 111  14  31  73  95 169 124  80 123   8 125  26 106  48  11 152 130
 119 134 109 189  75   1 177  41 137 199]",74455,200.55275082588196
4,TSPA.csv,"[141  87 144 154  81 180  32  62  53 195  55  22 117  15 108 171  21 194
  79 186 127  88 153 161  76 145 128 132  36 181 113  74 163  61 183  71
  20  64 185 116  27 147  96  59 143 159 164 178  19  69   0 149  50  43
 121  91 114   4  77 192 199  41 177   1 152  11 106  48  92  26 119 109
 189  75 137 174 175 167 101  99 135  51 112  95 169   8 124  80  14 111
  31  73  94  72 190  98  66 156   6  24]",73972,200.24678921699524
5,TSPA.csv,"[  1 177  41 137 174 199 192  77  43  50 149   0  69  19 178 164  34 159
 143  59  96 147  27 116 185  64  20  71  61 113  74 163  62  32 180  81
 154 144 141  87  79 194  21 171 108  15 117  53  22 195  55  36 132 128
 145  76 161  91 121 114   4 175 153  88 127 186 167 101 135  51   5 112
 169  95  31  73  12  72 190  66   6  98  94  89 111  14  80 124 123   8
  26 106  48  11 152 130 119 109 189  75]",74142,200.31665515899658
6,TSPA.csv,"[195  53  62  32 180  81 154 144  87 141   6 156  66  98 190  72 112  73
  12  94  89  31 111  14  80 124 123   8 169  95  51 135 134 119  26  48
 106 160  11 152   1 177  41 199 174  75 189 109 126 101 167 175 192  43
  77   4 114  91 121  50 149  76 161 153  88 127  45 186  79 194  21 171
 108  15 117  22  55  36 132 128   0  19 178 164 159 143  59  96 147  27
 116 185  64  20  71 183  61 163  74 113]",74398,201.6486210823059
7,TSPA.csv,"[ 59 147 116  27  96 185  64  20  71  61 163  74 113 132  36  55 195  22
  53 117 171 108  62  32 180  81 154  21 194  79 102 144  87 141   6 156
  66  98 190  72  94  89  42 111  14  31  73 112   5  51 135  95 169 124
  80 123   8  26  92  48 106  11 152 130 119 109 189  75 174 177   1  41
 199 192 175 167 101  45 186 127  88 153 161  76  91 121 114   4  77  43
  50 149   0  19 178 164 128  37 159 143]",74011,202.44937705993652
8,TSPA.csv,"[156   6 141  87 144 154  81 171 194  79  21 161  76 145 132  36  55  22
  53 117  15 108 180  32  62 195 113  74 163  61 183  71  20  64 185  96
  27 116 147  59 143 159 128  40 164 178  19  69   0 149  50  43  77   4
 114 121  91 153  88 127 186  45 101 167 175 192 150 199 137  41 177   1
  75 189 109 119 130 152  11 160 106  48  26   8  80  14 111  31  95 169
 135  51 112  73  12  94  72 190  98  66]",74310,200.85256600379944
9,TSPA.csv,"[124  80 169  95  31  14 111  89  94  72 190  98 156 172   6  66 112  51
 135  99 101 167  45 186 127  88 153 175   4 114 121  91 161  76 128 132
  36  55 195  22  53 117 108 171  21 194  79  87 141 144 102 154  81 180
  32  62 155 163  74 113  61  71  20  64 185  96  27 147  59 143 159 164
 178  19  69   0 149  50  43  77 192 199 174 177  41   1  75 189 109 134
 119 130 152  11 160 106  48  92  26   8]",73720,200.16807508468628
